ano_eleicao,sigla_uf,nome_municipio,descricao_cargo,num_turno,numero_zona,sigla_partido,nome_candidato,nome_urna_candidato,numero_cand,desc_sit_cand_superior,desc_sit_candidato,desc_sit_cand_tot,total_votos
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PDT,SEBASTIÃO GERALDO VENANCIO,SEBASTIÃO VENANCIO LUZ CRISTO,12321,,DEFERIDO,SUPLENTE,220
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PPS,VENCESLAU OLIVEIRA SORIANO,VENCESLAU SORIANO,23190,,DEFERIDO,SUPLENTE,219
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PMDB,DECIO BARBOSA RAMOS,DECIO BARBOSA,15523,,DEFERIDO,SUPLENTE,217
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PSDB,ELDER OLIVEIRA PRATA,ELDER PRATA,45455,,DEFERIDO,SUPLENTE,217
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PPS,JOÃO FRANCISCO SAWAYA DE LIMA,KIKO SAWAIA,23444,,DEFERIDO,SUPLENTE,217
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PSDB,MARIA DAS GRAÇAS BATISTA DE PAULA,PROFESSORA GRAÇA,45645,,DEFERIDO,SUPLENTE,217
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PHS,JOSE PRIMON NETO,PRIMON,31431,,DEFERIDO,SUPLENTE,215
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PT,JOAO GILBERTO RIBEIRO,GIBA,13300,,DEFERIDO,SUPLENTE,214
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PSDB,RICARDINA ROSA DE OLIVEIRA FREITAS CASTRO,PROF. RICARDINA CASTRO,45220,,DEFERIDO,SUPLENTE,213
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PSDB,CASSIANE MARIA MONTEIRO,CASSIANE DO 31,45444,,DEFERIDO,SUPLENTE,213
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PT,JAIR MORGADO DOS SANTOS,JAIR MORGADO,13113,,DEFERIDO,SUPLENTE,212
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PSDB,CARLOS ALBERTO RODRIGUES LEITE,CARLOS LEITE,45055,,DEFERIDO,SUPLENTE,211
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PHS,CARLOS ANTONIO DE CASTRO,CARLINHOS DE CASTRO,31110,,DEFERIDO,SUPLENTE,210
